Title,Year,Release Day,Season,Studio,Story,Genre,Value
Knight and Day,2010,Friday,Spring,Fox,Pursuit,Action,117
Date Night,2010,Friday,Spring,Fox,Pursuit,Comedy,55
Megamind,2010,Wednesday,Spring,Paramount,Transformation,Animation,130
"Grown Ups	",2010,Friday,Spring,Independent,Comedy,Comedy,80
From Paris with Love,2010,Friday,Spring,Independent,Pursuit,Action,52
Just Wright,2010,Friday,Spring,Fox,Love,Comedy,12
Solitary Man,2010,Friday,Spring,Independent,Wretched Excess,Comedy,15
Easy A,2010,Friday,Spring,Sony,Maturation,Comedy,8
The Ghost Writer,2010,Friday,Spring,Summit,The Riddle,Mystery,45
Alice in Wonderland,2010,Friday,Spring,Disney,Journey and Return,Adventure,200
Due Date,2010,Friday,Spring,Warner Bros.,Comedy,Comedy,50
Jonah Hex,2010,Friday,Spring,Warner Bros.,Revenge,Action,47
Conviction,2010,Friday,Spring,Independent,Rescue,Biography,12.5
"Furry Vengeance	",2010,Friday,Spring,Summit,Comedy,Comedy,35
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Friday,Spring,Fox,Quest,Adventure,155
Little Fockers,2010,Friday,Spring,Independent,Comedy,Comedy,100
You Again,2010,Friday,Spring,Independent,Comedy,Comedy,20
The Fighter,2010,Friday,Spring,Paramount,Underdog,Drama,25
Tangled,2010,Friday,Summer,Disney,Love,Animation,260
The Expendables,2010,Friday,Summer,Independent,Pursuit,Action,82
"Daybreakers	",2010,Friday,Summer,Lionsgate,Discovery,Action,20
Going the Distance,2010,Friday,Summer,Warner Bros.,Love,Comedy,32
Repo Men,2010,Friday,Summer,Universal,Rescue,Action,32
The King's Speech,2010,Friday,Summer,Independent,Maturation,Biography,15
Kick-Ass,2010,Friday,Summer,Independent,Rivalry,Action,30
True Grit,2010,Friday,Summer,Paramount,Revenge,Adventure,38
The Bounty Hunter,2010,Friday,Summer,Sony,Rivalry,Action,40
Marmaduke,2010,Friday,Summer,Fox,Rivalry,Comedy,50
Hot Tub Time Machine,2010,Friday,Summer,MGM,Journey and Return,Adventure,36
Tooth Fairy,2010,Friday,Summer,Fox,Comedy,Comedy,48
Gulliver's Travels,2010,Friday,Summer,Fox,Journey and Return,Comedy,112
Legion,2010,Friday,Summer,Independent,Monster Force,Action,26
Why Did I Get Married Too?,2010,Friday,Summer,Lionsgate,Comedy,Comedy,20
The Wolfman,2010,Wednesday,Summer,Universal,Monster Force,Drama,150
Inception,2010,Wednesday,Summer,Warner Bros.,Journey and Return,Action,160
Machete,2010,Friday,Summer,Independent,Revenge,Action,20
Salt,2010,Friday,Summer,Sony,Revenge,Action,110
Green Zone,2010,Friday,Summer,Universal,Quest,Action,100
Killers,2010,Friday,Summer,Lionsgate,Love,Action,75
Jackass 3-D,2010,Friday,Summer,Paramount,Comedy,Documentary,20
"Faster	",2010,Friday,Summer,CBS,Revenge,Action,24
Devil,2010,Friday,Summer,Independent,Monster Force,Horror,10
The Switch,2010,Friday,Summer,Independent,Comedy,Comedy,19
Nanny McPhee Returns,2010,Friday,Summer,Universal,Comedy,Comedy,35
Paranormal Activity 2,2010,Friday,Summer,Paramount,Monster Force,Horror,3
Youth in Revolt,2010,Friday,Summer,Weinstein Co.,Love,Comedy,18
The Last Exorcism,2010,Friday,Summer,Independent,Monster Force,Drama,1.8
Country Strong,2010,Friday,Summer,Sony,Rags to Riches,Drama,15
Case 39,2010,Friday,Summer,Independent,Monster Force,Horror,26
Dear John,2010,Friday,Fall,Sony,Love,Drama,25
Despicable Me,2010,Friday,Fall,Universal,Maturation,Animation,69
Edge of Darkness,2010,Friday,Fall,Warner Bros.,Revenge,Crime,80
Legend of the Guardians: The Owls of Ga'Hoole,2010,Friday,Fall,Warner Bros.,Rivalry,Animation,80
The Runaways,2010,Friday,Fall,Independent,Maturation,Biography,10
Valentine's Day,2010,Friday,Fall,Warner Bros.,Love,Comedy,52
Cyrus,2010,Friday,Fall,Independent,Rivalry,Comedy,7
"Extraordinary Measures	",2010,Friday,Fall,CBS,Underdog,Drama,31
Alpha and Omega,2010,Friday,Fall,Crest,Journey and Return,Animation,20
The Kids Are All Right,2010,Friday,Fall,Independent,Comedy,Comedy,4
The Next Three Days,2010,Friday,Fall,Lionsgate,Rescue,Crime,30
How to Train Your Dragon,2010,Friday,Fall,Paramount,Underdog,Animation,165
127 Hours,2010,Friday,Fall,Independent,Escape,Adventure,18
"The Twilight Saga: Eclipse	",2010,Friday,Fall,Summit,Monster Force,Drama,68
The Town,2010,Friday,Fall,Warner Bros.,Rivalry,Crime,37
Morning Glory,2010,Wednesday,Fall,Independent,Comedy,Comedy,40
Shutter Island,2010,Friday,Fall,Paramount,The Riddle,Drama,80
Remember Me,2010,Friday,Fall,Summit,Love,Drama,16
Resident Evil: Afterlife,2010,Friday,Fall,Highlight Communications,Monster Force,Action,60
For Colored Girls,2010,Friday,Fall,Independent,Discovery,Drama,21
Vampires Suck,2010,Friday,Fall,Independent,Comedy,Comedy,20
All Good Things,2010,Friday,Fall,Independent,The Riddle,Drama,20
The Last Airbender,2010,Friday,Fall,Paramount,Quest,Action,150
Toy Story 3,2010,Friday,Fall,Disney,Rescue,Animation,200
MacGruber,2010,Friday,Fall,Independent,Comedy,Action,10
Clash of the Titans,2010,Friday,Fall,Warner Bros.,Quest,Action,125
Scott Pilgrim vs. the World,2010,Friday,Fall,Universal,Underdog,Action,60
The Losers,2010,Friday,Fall,Warner Bros.,Revenge,Action,25
A Nightmare on Elm Street,2010,Friday,Fall,Warner Bros.,Monster Force,Horror,35
Cop Out,2010,Friday,Fall,Warner Bros.,The Riddle,Action,30
Diary of a Wimpy Kid,2010,Friday,Fall,Independent,Underdog,Comedy,15
She's Out of My League,2010,Friday,Fall,Paramount,Love,Comedy,20
Harry Potter and the Deathly Hallows Part 1,2010,Friday,Fall,Warner Bros.,Quest,Adventure,125
Saw 3-D,2010,Friday,Winter,Independent,Escape,Crime,20
The Karate Kid,2010,Friday,Winter,Sony,Underdog,Action,40
The Other Guys,2010,Friday,Winter,Sony,Comedy,Action,100
Predators,2010,Friday,Winter,Fox,Monster Force,Action,40
"Charlie St. Cloud	",2010,Friday,Winter,Universal,Discovery,Fantasy,44
The American,2010,Friday,Winter,Universal,Rivalry,Crime,20
Piranha 3-D,2010,Friday,Winter,Weinstein Co.,Monster Force,Comedy,24
Robin Hood,2010,Friday,Winter,Universal,Rivalry,Action,200
Leap Year,2010,Friday,Winter,Universal,Love,Comedy,19
Percy Jackson & the Olympians: The Lightning Thief,2010,Wednesday,Winter,Fox,Rivalry,Action,95
Skyline,2010,Wednesday,Winter,Independent,Monster Force,Action,10
Tron: Legacy,2010,Friday,Winter,Independent,Fish Out of Water,Action,170
The Crazies,2010,Friday,Winter,Liberty Starz,Monster Force,Horror,20
Step Up 3D,2010,Friday,Winter,Summit,Transformation,Drama,30
City Island,2010,Friday,Winter,Independent,Transformation,Comedy,6
Burlesque,2010,Friday,Winter,Paramount,Rags to Riches,Drama,55
My Soul to Take,2010,Friday,Winter,Relativity,Monster Force,Horror,25
Red,2010,Friday,Winter,Summit,Rivalry,Action,58
Unknown,2011,Friday,Winter,Independent,The Riddle,Thriller,30
Midnight in Paris,2011,Friday,Winter,Sony,Love,Romance,17
Gnomeo and Juliet,2011,Wednesday,Winter,Disney,Love,Animation,36
The Hangover Part II,2011,Friday,Winter,Legendary Pictures,Comedy,Comedy,80
The Lincoln Lawyer,2011,Friday,Winter,Lionsgate,Fish Out of Water,Drama,40
Colombiana,2011,Friday,Winter,Sony,Revenge,Action,40
The Adjustment Bureau,2011,Friday,Winter,Independent,Sacrifice,Thriller,50.2
The Adventures of Tintin,2011,Friday,Winter,Paramount,Quest,Adventure,130
No Strings Attached,2011,Friday,Winter,Spyglass Entertainment,Comedy,Comedy,25
Happy Feet 2,2011,Friday,Winter,Village Roadshow Pictures,Journey and Return,Animation,135
Arthur,2011,Friday,Winter,Warner Bros.,Sacrifice,Comedy,40
The Conspirator,2011,Friday,Winter,Independent,Underdog,Drama,25
Paul,2011,Friday,Winter,Relativity,Comedy,Comedy,40
Jack and Jill,2011,Friday,Winter,Happy Madison,Comedy,Comedy,79
Zookeeper,2011,Friday,Winter,Happy Madison,Comedy,Comedy,80
Drive,2011,Friday,Winter,Independent,Rivalry,Thriller,15
Red Riding Hood,2011,Friday,Winter,Warner Bros.,Monster Force,Horror,42
Moneyball,2011,Wednesday,Winter,Columbia,Underdog,Drama,50
The Change Up,2011,Friday,Winter,Relativity,Metamorphosis,Comedy,52
The Smurfs,2011,Friday,Winter,Sony,Fish Out of Water,Animation,110
The Eagle,2011,Friday,Winter,Universal,Quest,Action,25
Dream House,2011,Friday,Winter,Morgan Creek Productions,The Riddle,Horror,50
J.Edgar,2011,Friday,Winter,Warner Bros.,Wretched Excess,Drama,35
What's Your Number,2011,Friday,Spring,20th Century Fox,Transformation,Comedy,20
Hall Pass,2011,Friday,Spring,Warner Bros.,Temptation,Comedy,36
Winnie The Pooh,2011,Wednesday,Spring,Disney,Quest,Animation,30
In Time,2011,Wednesday,Spring,Regency Enterprises,The Riddle,Thriller,40
Immortals,2011,Friday,Spring,Relativity,Revenge,Action,75
The Descendants,2011,Friday,Spring,20th Century Fox,Discovery,Drama,20
Twilight: Breaking Dawn,2011,Friday,Spring,Independent,Love,Romance,110
Your Highness,2011,Friday,Spring,Universal,Comedy,Comedy,49.9
Beginners,2011,Friday,Spring,Independent,Love,Comedy,3.2
Mission Impossible 4,2011,Friday,Spring,Paramount,Pursuit,Action,145
Anonymous,2011,Friday,Spring,Relativity,Tragedy,Drama,30
Insidious,2011,Friday,Spring,Sony,Monster Force,Horror,1.5
Soul Surfer,2011,Friday,Spring,Sony,Underdog,Drama,18
Harry Potter and the Deathly Hallows Part 2,2011,Friday,Spring,Warner Bros.,Rivalry,Fantasy,125
The Mechanic,2011,Friday,Spring,Independent,Revenge,Action,40
Bad Teacher,2011,Friday,Spring,Independent,Comedy,Comedy,20
The Dilemma,2011,Wednesday,Spring,Spyglass Entertainment,Comedy,Comedy,70
Scream 4,2011,Wednesday,Spring,Weinstein Co.,Monster Force,Horror,40
The Muppets,2011,Friday,Spring,Disney,Quest,Comedy,45
The Beaver,2011,Friday,Spring,Summit,Transformation,Drama,21
Paranormal Activity 3,2011,Friday,Spring,Independent,Monster Force,Horror,5
Abduction,2011,Friday,Spring,Vertigo Entertainment,Maturation,Action,35
Beastly,2011,Friday,Spring,CBS,Metamorphosis,Romance,17
The Ides of March,2011,Friday,Spring,Columbia,Transformation,Thriller,12.5
Cowboys and Aliens,2011,Friday,Spring,Universal,Monster Force,Action,163
Limitless,2011,Friday,Spring,Virgin,Wretched Excess,Thriller,27
The Roommate,2011,Friday,Spring,Independent,Monster Force,Horror,16
The Big Year,2011,Friday,Spring,Independent,Transformation,Comedy,41
"Crazy,Stupid,Love",2011,Friday,Spring,Warner Bros.,Discovery,Romance,50
Real Steel,2011,Friday,Spring,DreamWorks,Underdog,Action,110
Super 8 ,2011,Friday,Spring,Paramount,Monster Force,Horror,50
Captain America: The First Avenger,2011,Friday,Summer,Disney,Metamorphosis,Action,140
Footloose,2011,Friday,Summer,Spyglass Entertainment,Transformation,Drama,24
Green Lantern,2011,Friday,Summer,Warner Bros.,Metamorphosis,Action,200
Diary of a Wimpy Kid 2: Rodrick Rules,2011,Wednesday,Summer,20th Century Fox,Comedy,Comedy,21
30 Minutes or Less,2011,Friday,Summer,Independent,Comedy,Comedy,28
The Rite,2011,Friday,Summer,Warner Bros.,Monster Force,Horror,37
Don't Be Afraid Of The Dark,2011,Friday,Summer,Miramax,Monster Force,Horror,25
Rise of the Planet of the Apes,2011,Friday,Summer,20th Century Fox,Revenge,Action,93
Water For Elephants,2011,Friday,Summer,20th Century Fox,Love,Drama,38
Source Code,2011,Friday,Summer,Summit,The Riddle,Thriller,32
Dolphin Tale,2011,Friday,Summer,Independent,Quest,Drama,37
One Day,2011,Friday,Summer,Independent,Love,Romance,15
The Thing,2011,Friday,Summer,Universal,Monster Force,Horror,38
Kung Fu Panda 2,2011,Friday,Summer,DreamWorks,Rivalry,Animation,150
The Tree Of Life,2011,Friday,Summer,Independent,Discovery,Drama,32
Drive Angry,2011,Friday,Summer,Independent,Rescue,Action,45
I Am Number Four,2011,Friday,Summer,Paramount,Maturation,Thriller,60
Shark Night 3D,2011,Friday,Summer,Relativity,Escape,Horror,25
Priest,2011,Friday,Summer,Sony,Monster Force,Action,60
Thor,2011,Friday,Summer,Disney,Monster Force,Action,150
The Debt,2011,Friday,Summer,Universal,Pursuit,Thriller,20
Mr. Popper's Penguins,2011,Friday,Summer,20th Century Fox,Discovery,Comedy,55
Season Of The Witch,2011,Friday,Summer,Relativity ,Monster Force,Action,40
New Year's Eve,2011,Friday,Summer,Warner Bros.,Love,Romance,56
Sucker Punch,2011,Friday,Summer,Legendary Pictures,Quest,Action,82
Hop,2011,Friday,Summer,Relativity,Fish Out of Water,Animation,63
Larry Crowne,2011,Friday,Summer,Universal,Discovery,Drama,30
The Green Hornet,2011,Friday,Fall,Columbia,Rivalry,Action,120
Pirates of the Caribbean: On Stranger Tides,2011,Friday,Fall,Disney,Quest,Action,250
Warrior,2011,Friday,Fall,Lionsgate,Rivalry,Action,25
Final Destination 5,2011,Friday,Fall,New Line,Monster Force,Horror,40
Conan the Barbarian,2011,Friday,Fall,Lionsgate,Quest,Action,90
Cars 2,2011,Friday,Fall,Pixar,Fish Out of Water,Animation,200
Contagion,2011,Friday,Fall,Warner Bros.,The Riddle,Thriller,60
Arthur Christmas,2011,Friday,Fall,Aardman Animations,Journey and Return,Animation,150
Horrible Bosses,2011,Friday,Fall,Warner Bros.,Revenge,Comedy,35
Mars Needs Moms,2011,Friday,Fall,Disney,Rescue,Animation,150
The Rum Diary,2011,Friday,Fall,Independent,Discovery,Drama,45
Fast Five,2011,Friday,Fall,Universal,Escape,Action,125
Johnny English Reborn,2011,Friday,Fall,Relativity,Comedy,Comedy,45
Transformers: Dark of the Moon,2011,Friday,Fall,DreamWorks,Quest,Action,195
Just Go With It,2011,Friday,Fall,Happy Madison,Comedy,Romance,80
50/50,2011,Friday,Fall,Independent,Discovery,Comedy,8
Fright Night,2011,Friday,Fall,DreamWorks,Rivalry,Horror,30
Puss In Boots,2011,Friday,Fall,DreamWorks,Quest,Animation,130
Tower Heist,2011,Friday,Fall,Relativity,Revenge,Comedy,75
Bridesmaids,2011,Friday,Fall,Relativity,Rivalry,Comedy,32.5
Sherlock Holmes 2,2011,Friday,Fall,Warner Bros.,Pursuit,Action,125
The Company Men,2011,Wednesday,Fall,Weinstein Co.,Discovery,Drama,15
Spy Kids: All The Time in the World,2011,Friday,Fall,Weinstein Co.,Quest,Action,27
Apollo 18,2011,Friday,Fall,Weinstein Co.,Monster Force,Horror,5
X-Men: First Class,2011,Wednesday,Fall,Disney,Monster Force,Action,160
Sanctum,2011,Friday,Fall,Relativity,Quest,Action,30
Friends With Benefits,2011,Friday,Fall,Warner Bros.,Temptation,Romance,35
Monte Carlo,2011,Friday,Winter,20th Century Fox,Love,Romance,20
Rio,2011,Friday,Winter,20th Century Fox,Quest,Animation,90
The Three Musketeers,2011,Friday,Winter,Independent,Rivalry,Action,75
Killer Elite,2011,Friday,Winter,Independent,Rivalry,Action,70
Rango,2011,Friday,Winter,Paramount,Fish Out of Water,Animation,135
Battle: Los Angeles,2011,Friday,Winter,Relativity,Monster Force,Action,70
The Help,2011,Wednesday,Winter,DreamWorks,Maturation,Drama,25
My Week with Marilyn,2011,Friday,Winter,Weinstein Co.,Love,Drama,10
Hanna,2011,Friday,Winter,Universal,Quest,Action,30
